fixture_id,referee,timezone,date,timestamp,first_half,second_half,venue_id,venue_name,venue_city,status_long,status_short,status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,home_team_id,home_team_name,home_team_logo,home_team_winner,away_team_id,away_team_name,away_team_logo,away_team_winner,home_goals,away_goals,halftime_home_goals,halftime_away_goals,fulltime_home_goals,fulltime_away_goals,extratime_home_goals,extratime_away_goals,penalty_home_goals,penalty_away_goals
66,"Martin Atkinson, England",UTC,2018-08-11T11:30:00+00:00,1533987000,1533987000,1533990600,562,St James' Park,Newcastle upon Tyne,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,34,Newcastle,https://media.api-sports.io/football/teams/34.png,0,47,Tottenham,https://media.api-sports.io/football/teams/47.png,1,1,2,1,2,1,2,,,,
67,"Kevin Friend, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,,Vitality Stadium,Bournemouth,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,1,43,Cardiff,https://media.api-sports.io/football/teams/43.png,0,2,0,1,0,2,0,,,,
68,"Mike Dean, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,535,Craven Cottage,London,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,36,Fulham,https://media.api-sports.io/football/teams/36.png,0,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,1,0,2,0,1,0,2,,,,
69,"Chris Kavanagh, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,,John Smith's Stadium,Huddersfield,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,37,Huddersfield,https://media.api-sports.io/football/teams/37.png,0,49,Chelsea,https://media.api-sports.io/football/teams/49.png,1,0,3,0,2,0,3,,,,
70,"Jonathan Moss, England",UTC,2018-08-11T14:00:00+00:00,1533996000,1533996000,1533999600,596,Vicarage Road,Watford,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,38,Watford,https://media.api-sports.io/football/teams/38.png,1,51,Brighton,https://media.api-sports.io/football/teams/51.png,0,2,0,1,0,2,0,,,,
71,"Craig Pawson, England",UTC,2018-08-11T16:30:00+00:00,1534005000,1534005000,1534008600,,Molineux Stadium,Wolverhampton,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,39,Wolves,https://media.api-sports.io/football/teams/39.png,,45,Everton,https://media.api-sports.io/football/teams/45.png,,2,2,1,1,2,2,,,,
72,"Anthony Taylor, England",UTC,2018-08-12T12:30:00+00:00,1534077000,1534077000,1534080600,550,Anfield,Liverpool,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,40,Liverpool,https://media.api-sports.io/football/teams/40.png,1,48,West Ham,https://media.api-sports.io/football/teams/48.png,0,4,0,2,0,4,0,,,,
73,"Graham Scott, England",UTC,2018-08-12T12:30:00+00:00,1534077000,1534077000,1534080600,,St. Mary's Stadium,Southampton,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,41,Southampton,https://media.api-sports.io/football/teams/41.png,,44,Burnley,https://media.api-sports.io/football/teams/44.png,,0,0,0,0,0,0,,,,
74,"Michael Oliver, England",UTC,2018-08-12T15:00:00+00:00,1534086000,1534086000,1534089600,494,Emirates Stadium,London,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 1,42,Arsenal,https://media.api-sports.io/football/teams/42.png,0,50,Manchester City,https://media.api-sports.io/football/teams/50.png,1,0,2,0,1,0,2,,,,
75,"Craig Pawson, England",UTC,2018-08-18T11:30:00+00:00,1534591800,1534591800,1534595400,,Cardiff City Stadium,Cardiff,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 2,43,Cardiff,https://media.api-sports.io/football/teams/43.png,,34,Newcastle,https://media.api-sports.io/football/teams/34.png,,0,0,0,0,0,0,,,,
76,"Paul Tierney, England",UTC,2018-08-19T12:30:00+00:00,1534681800,1534681800,1534685400,512,Turf Moor,Burnley,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 2,44,Burnley,https://media.api-sports.io/football/teams/44.png,0,38,Watford,https://media.api-sports.io/football/teams/38.png,1,1,3,1,1,1,3,,,,
77,"Lee Mason, England",UTC,2018-08-18T14:00:00+00:00,1534600800,1534600800,1534604400,8560,Goodison Park,Liverpool,Match Finished,FT,90,39,Premier League,England,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,2018,Regular Season - 2,45,Everton,https://media.api-sports.io/football/teams/45.png,1,41,Southampton,https://media.api-sports.io/football/teams/41.png,0,2,1,2,0,2,1,,,,
